Programme Name,Year,Award Status,Applicant Gender,Amount Requested,Amount Funded
SFI Research Centres,2012,Declined,Male,29700000,
SFI Research Centres,2012,Declined,Male,27780000,
SFI Research Centres,2012,Declined,Female,15040000,
SFI Research Centres,2012,Declined,Male,16370000,
SFI Research Centres,2012,Declined,Male,21650000,
SFI Research Centres,2012,Declined,Male,6090000,
SFI Research Centres,2012,Declined,Male,19350000,
SFI Research Centres,2012,Declined,Male,17860000,
SFI Research Centres,2012,Declined,Male,5250000,
SFI Research Centres,2012,Declined,Male,9420000,
SFI Research Centres,2012,Declined,Male,8080000,
SFI Research Centres,2012,Declined,Male,15840000,
SFI Research Centres,2012,Declined,Male,25220000,
SFI Research Centres,2012,Declined,Male,6000000,
SFI Research Centres,2012,Declined,Male,8660000,
SFI Research Centres,2012,Declined,Male,9530000,
SFI Research Centres,2012,Declined,Male,13650000,
SFI Research Centres,2012,Declined,Male,24530000,
SFI Research Centres,2012,Declined,Male,26080000,
SFI Research Centres,2012,Declined,Male,11440000,
SFI Research Centres,2012,Declined,Male,6680000,
SFI Research Centres,2012,Declined,Male,9150000,
SFI Research Centres,2012,Declined,Male,3150000,
SFI Research Centres,2012,Declined,Female,12840000,
SFI Research Centres,2012,Declined,Male,5340000,
SFI Research Centres,2012,Declined,Male,12070000,
SFI Research Centres,2012,Declined,Male,5000000,
SFI Research Centres,2012,Declined,Male,6880000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,770000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,1570000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,1000000,890000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1980000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,730000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Female,1300000,1140000
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,650000,760000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,460000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,610000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1000000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,500000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,600000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,580000,570000
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,1190000,1100000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1000000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1250000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,960000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1070000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,1000000,980000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,880000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,2500000,2170000
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,800000,790000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,950000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,810000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1000000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1340000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,990000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,870000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,900000,960000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,930000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,780000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,990000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1200000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,410000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1300000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,1750000,1420000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,670000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,490000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1320000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,720000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,900000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,750000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,900000,920000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,440000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,980000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,740000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,610000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,750000,770000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,810000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,800000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,850000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,750000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,2500000,1870000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,2200000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1180000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,960000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,690000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,750000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,1600000,830000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1490000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,1250000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,590000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,650000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1200000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,750000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1700000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1060000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,420000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,140000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,430000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,690000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,370000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Female,900000,830000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,600000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,850000,490000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,850000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,1250000,920000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1600000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,760000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,340000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,740000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1200000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,510000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1100000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,1550000,1360000
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Female,750000,760000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1170000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,790000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1000000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,880000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1200000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1230000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,1900000,
SFI Investigator Programme/Principal Investigator Programme,2011,Awarded,Male,650000,660000
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,480000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Female,720000,
SFI Investigator Programme/Principal Investigator Programme,2011,Declined,Male,710000,
